benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0108,LOF,0.5485,0.4229,0.3243
wine_benchmark_0108,PCA,0.5256,0.415,0.006
wine_benchmark_0108,LODA,0.5027,0.3898,0.039
wine_benchmark_0109,KNN,0.5318,0.3999,0.4294
wine_benchmark_0109,LOF,0.5604,0.4212,0.3193
wine_benchmark_0109,PCA,0.5231,0.3954,0.006
wine_benchmark_0109,LODA,0.5602,0.4161,0.041
wine_benchmark_0110,KNN,0.5383,0.4098,0.4319
wine_benchmark_0110,LOF,0.5557,0.4117,0.3243
wine_benchmark_0110,PCA,0.5218,0.4073,0.006
wine_benchmark_0110,LODA,0.4966,0.3752,0.04
wine_benchmark_0111,KNN,0.5473,0.4128,0.4318
wine_benchmark_0111,LOF,0.5567,0.4113,0.3163
wine_benchmark_0111,PCA,0.5318,0.4032,0.006
wine_benchmark_0111,LODA,0.5919,0.4444,0.039
wine_benchmark_0112,KNN,0.5561,0.416,0.4304
wine_benchmark_0112,LOF,0.5628,0.4145,0.3363
wine_benchmark_0112,PCA,0.5409,0.4182,0.006
wine_benchmark_0112,LODA,0.6126,0.4683,0.041
wine_benchmark_0113,KNN,0.5485,0.4224,0.4206
wine_benchmark_0113,LOF,0.5505,0.4216,0.3113
wine_benchmark_0113,PCA,0.5242,0.402,0.006
wine_benchmark_0113,LODA,0.5963,0.4586,0.039
wine_benchmark_0114,KNN,0.5364,0.4133,0.4374
wine_benchmark_0114,LOF,0.5483,0.409,0.3423
wine_benchmark_0114,PCA,0.5319,0.4154,0.006
wine_benchmark_0114,LODA,0.4984,0.3871,0.038
wine_benchmark_0115,KNN,0.544,0.4051,0.4244
wine_benchmark_0115,LOF,0.5554,0.4122,0.3163
wine_benchmark_0115,PCA,0.532,0.4073,0.006
wine_benchmark_0115,LODA,0.5367,0.4129,0.038
wine_benchmark_0116,KNN,0.5379,0.4025,0.4454
wine_benchmark_0116,LOF,0.5478,0.4069,0.3493
wine_benchmark_0116,PCA,0.5316,0.4077,0.006
wine_benchmark_0116,LODA,0.5261,0.3893,0.042
wine_benchmark_0117,KNN,0.524,0.404,0.4264
wine_benchmark_0117,LOF,0.5371,0.4059,0.3233
wine_benchmark_0117,PCA,0.5207,0.4023,0.006
wine_benchmark_0117,LODA,0.59,0.4557,0.0385
wine_benchmark_0118,KNN,0.5293,0.4042,0.437
wine_benchmark_0118,LOF,0.5532,0.4179,0.3358
wine_benchmark_0118,PCA,0.5236,0.4042,0.005
